source,status,date,cust_name,cust_num,cust_parent_name,cust_channel,cust_segment,amount,quantity
direct,closed,2024-01-15,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,5666.75,163
direct,closed,2024-01-15,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,180
direct,closed,2024-01-15,Target,1009,Target,Retail,Mass,12756.0,353
direct,closed,2024-01-16,Amazon,1002,Amazon,Online,Online,15463.680000000002,690
direct,closed,2024-01-16,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-01-16,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,56553.8,2679
direct,closed,2024-01-16,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,16
direct,closed,2024-01-16,Meijer,1003,Meijer,Retail,Grocery,3648.0,162
direct,closed,2024-01-16,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4562.67,118
direct,closed,2024-01-16,Target,1009,Target,Retail,Mass,42.0,1
direct,closed,2024-01-17,Amazon,1002,Amazon,Online,Online,9415.68,384
direct,closed,2024-01-17,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,57
direct,closed,2024-01-17,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,3906.7799999999997,105
direct,closed,2024-01-17,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,36
direct,closed,2024-01-17,UNFI,1014,UNFI,Retail,Natural,98163.0,1875
direct,closed,2024-01-18,Amazon,1002,Amazon,Online,Online,8816.43,360
direct,closed,2024-01-18,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,19584.0,1440
direct,closed,2024-01-18,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,7899.11,231
direct,closed,2024-01-18,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,40
direct,closed,2024-01-18,SportLife Distribution,1027,SportLife,AFH,Fitness,6528.0,480
direct,closed,2024-01-18,UNFI,1014,UNFI,Retail,Natural,88974.0,2510
direct,closed,2024-01-19,Amazon,1002,Amazon,Online,Online,10895.79,473
direct,closed,2024-01-19,"Hy-Vee (Lomar Distributing , Inc)",1010,Hy-Vee,Retail,Grocery,1339.2,9
direct,closed,2024-01-19,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4148.87,101
direct,closed,2024-01-19,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,9
direct,closed,2024-01-19,Target,1009,Target,Retail,Mass,8820.0,210
direct,closed,2024-01-20,Amazon,1002,Amazon,Online,Online,4312.7300000000005,127
direct,closed,2024-01-21,Amazon,1002,Amazon,Online,Online,3828.8300000000004,117
direct,closed,2024-01-22,Amazon,1002,Amazon,Online,Online,15908.250000000002,684
direct,closed,2024-01-22,Costco Wholesale,1008,Costco,Club,Club,330048.0,180
direct,closed,2024-01-22,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,112339.6,3022
direct,closed,2024-01-22,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,60
direct,closed,2024-01-22,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,0.0,55
direct,closed,2024-01-22,Target,1009,Target,Retail,Mass,106134.0,2527
direct,closed,2024-01-22,Walmart,1015,Walmart,Retail,Mass,78090.0,1370
direct,closed,2024-01-23,Amazon,1002,Amazon,Online,Online,11805.160000000002,489
direct,closed,2024-01-23,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,368
direct,closed,2024-01-23,Meijer,1003,Meijer,Retail,Grocery,3088.0,136
direct,closed,2024-01-23,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,13056.0,960
direct,closed,2024-01-23,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,3229.69,129
direct,closed,2024-01-23,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,284
direct,closed,2024-01-23,Target,1009,Target,Retail,Mass,58548.0,1394
direct,closed,2024-01-23,Walmart,1015,Walmart,Retail,Mass,58824.0,1032
direct,closed,2024-01-24,Amazon,1002,Amazon,Online,Online,12701.44,567
direct,closed,2024-01-24,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,39393.0,1015
direct,closed,2024-01-24,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,470
direct,closed,2024-01-24,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,7763.25,198
direct,closed,2024-01-24,SportLife Distribution,1027,SportLife,AFH,Fitness,8160.0,600
direct,closed,2024-01-24,Target,1009,Target,Retail,Mass,1932.0,46
direct,closed,2024-01-25,Amazon,1002,Amazon,Online,Online,9376.960000000001,410
direct,closed,2024-01-25,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,1902.18,73
direct,closed,2024-01-25,The Kroger Co.,1013,Kroger,Retail,Grocery,29925.0,525
direct,closed,2024-01-25,UNFI,1014,UNFI,Retail,Natural,109692.0,1980
direct,closed,2024-01-25,Walmart,1015,Walmart,Retail,Mass,14877.0,261
direct,closed,2024-01-26,Amazon,1002,Amazon,Online,Online,9410.300000000001,421
direct,closed,2024-01-26,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-01-26,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,87
direct,closed,2024-01-26,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,2063.04,62
direct,closed,2024-01-26,SportLife Distribution,1027,SportLife,AFH,Fitness,9792.0,720
direct,closed,2024-01-26,Target,1009,Target,Retail,Mass,35886.0,937
direct,closed,2024-01-26,Walmart,1015,Walmart,Retail,Mass,73758.0,1294
direct,closed,2024-01-27,Amazon,1002,Amazon,Online,Online,1789.43,57
direct,closed,2024-01-28,Amazon,1002,Amazon,Online,Online,1637.4700000000003,53
direct,closed,2024-01-29,Amazon,1002,Amazon,Online,Online,11658.830000000002,527
direct,closed,2024-01-29,Costco Wholesale,1008,Costco,Club,Club,165024.0,90
direct,closed,2024-01-29,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,85720.0,2050
direct,closed,2024-01-29,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,315
direct,closed,2024-01-29,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,0.0,16
direct,closed,2024-01-29,Target,1009,Target,Retail,Mass,29682.0,783
direct,closed,2024-01-29,Walmart,1015,Walmart,Retail,Mass,29469.0,517
direct,closed,2024-01-30,Amazon,1002,Amazon,Online,Online,8724.75,429
direct,closed,2024-01-30,Costco Wholesale,1008,Costco,Club,Club,220032.0,120
direct,closed,2024-01-30,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,12
direct,closed,2024-01-30,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4710.1,103
direct,closed,2024-01-30,Walmart,1015,Walmart,Retail,Mass,10146.0,178
direct,closed,2024-01-31,Amazon,1002,Amazon,Online,Online,9755.960000000001,409
direct,closed,2024-01-31,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,226
direct,closed,2024-01-31,"McLane Company, Inc.",1018,McLane,Retail,Convenience,4896.0,360
direct,closed,2024-01-31,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,5175.4400000000005,141
direct,closed,2024-01-31,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,229
direct,closed,2024-01-31,SportLife Distribution,1027,SportLife,AFH,Fitness,14688.0,1080
direct,closed,2024-01-31,UNFI,1014,UNFI,Retail,Natural,140388.0,3395
direct,closed,2024-01-31,Walmart,1015,Walmart,Retail,Mass,42636.0,748
direct,closed,2024-02-01,Amazon,1002,Amazon,Online,Online,9145.36,420
direct,closed,2024-02-01,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,46223.4,1477
direct,closed,2024-02-01,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,6
direct,closed,2024-02-01,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,5767.67,112
direct,closed,2024-02-01,Target,1009,Target,Retail,Mass,15246.0,363
direct,closed,2024-02-02,Amazon,1002,Amazon,Online,Online,13555.95,608
direct,closed,2024-02-02,Costco Wholesale,1008,Costco,Club,Club,55008.0,30
direct,closed,2024-02-02,Davidson Specialty Foods LLC,1007,Davidson Specialty Foods,Retail,Natural,7440.0,200
direct,closed,2024-02-02,"Hy-Vee (Lomar Distributing , Inc)",1010,Hy-Vee,Retail,Grocery,3720.0,25
direct,closed,2024-02-02,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,20392.0,530
direct,closed,2024-02-02,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,557
direct,closed,2024-02-02,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,2230.58,71
direct,closed,2024-02-02,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,18
direct,closed,2024-02-02,Target,1009,Target,Retail,Mass,31920.0,760
direct,closed,2024-02-03,Amazon,1002,Amazon,Online,Online,795.74,26
direct,closed,2024-02-04,Amazon,1002,Amazon,Online,Online,743.76,24
direct,closed,2024-02-05,Amazon,1002,Amazon,Online,Online,12027.7,587
direct,closed,2024-02-05,Costco Wholesale,1008,Costco,Club,Club,55008.0,30
direct,closed,2024-02-05,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,44146.0,1320
direct,closed,2024-02-05,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,620
direct,closed,2024-02-05,Meijer,1003,Meijer,Retail,Grocery,4112.0,186
direct,closed,2024-02-05,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,0.0,3
direct,closed,2024-02-05,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,50
direct,closed,2024-02-05,SnackTree International,1021,Snack Tree,AFH,Specialty Retail,8006.400000000001,240
direct,closed,2024-02-06,Amazon,1002,Amazon,Online,Online,9804.82,476
direct,closed,2024-02-06,Costco Wholesale,1008,Costco,Club,Club,165024.0,90
direct,closed,2024-02-06,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,22296.0,670
direct,closed,2024-02-06,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,193
direct,closed,2024-02-06,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4114.69,113
direct,closed,2024-02-07,Amazon,1002,Amazon,Online,Online,9007.810000000001,421
direct,closed,2024-02-07,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-02-07,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,12336.0,560
direct,closed,2024-02-07,"McLane Company, Inc.",1018,McLane,Retail,Convenience,4896.0,360
direct,closed,2024-02-07,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,6528.0,480
direct,closed,2024-02-07,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4794.03,96
direct,closed,2024-02-07,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,44
direct,closed,2024-02-07,The Kroger Co.,1013,Kroger,Retail,Grocery,39900.0,700
direct,closed,2024-02-07,UNFI,1014,UNFI,Retail,Natural,97404.0,2100
direct,closed,2024-02-08,Amazon,1002,Amazon,Online,Online,7409.300000000001,372
direct,closed,2024-02-08,Costco Wholesale,1008,Costco,Club,Club,220032.0,120
direct,closed,2024-02-08,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,17
direct,closed,2024-02-08,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,5699.16,113
direct,closed,2024-02-08,UNFI,1014,UNFI,Retail,Natural,94614.0,1910
direct,closed,2024-02-08,Walmart,1015,Walmart,Retail,Mass,37734.0,662
direct,closed,2024-02-09,Amazon,1002,Amazon,Online,Online,6236.9400000000005,310
direct,closed,2024-02-09,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-02-09,Harris Teeter,1016,Harris Teeter,Retail,Grocery,16320.0,1200
direct,closed,2024-02-09,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,8160.0,600
direct,closed,2024-02-09,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,340
direct,closed,2024-02-09,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,9792.0,720
direct,closed,2024-02-09,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,5476.03,147
direct,closed,2024-02-09,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,92
direct,closed,2024-02-09,SnackTree International,1021,Snack Tree,AFH,Specialty Retail,8006.4,240
direct,closed,2024-02-09,Target,1009,Target,Retail,Mass,14532.0,400
direct,closed,2024-02-09,Walmart,1015,Walmart,Retail,Mass,85614.0,1502
direct,closed,2024-02-10,Amazon,1002,Amazon,Online,Online,1719.5,48
direct,closed,2024-02-11,Amazon,1002,Amazon,Online,Online,1961.37,55
direct,closed,2024-02-12,Amazon,1002,Amazon,Online,Online,13157.34,616
direct,closed,2024-02-12,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,81922.2,1961
direct,closed,2024-02-12,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,179
direct,closed,2024-02-12,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,0.0,32
direct,closed,2024-02-12,Target,1009,Target,Retail,Mass,16542.0,411
direct,closed,2024-02-12,Walmart,1015,Walmart,Retail,Mass,20463.0,359
direct,closed,2024-02-13,Amazon,1002,Amazon,Online,Online,11111.02,498
direct,closed,2024-02-13,Costco Wholesale,1008,Costco,Club,Club,385056.0,210
direct,closed,2024-02-13,DPI Specialty Foods,1001,DPI,Retail,Natural,5952.0,160
direct,closed,2024-02-13,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,18310.0,700
direct,closed,2024-02-13,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,7
direct,closed,2024-02-13,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,6436.27,120
direct,closed,2024-02-13,Target,1009,Target,Retail,Mass,57024.0,1432
direct,closed,2024-02-14,Amazon,1002,Amazon,Online,Online,8727.140000000001,370
direct,closed,2024-02-14,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-02-14,GNC,1006,GNC,AFH,Fitness,4896.0,360
direct,closed,2024-02-14,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4731.96,92
direct,closed,2024-02-14,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,28
direct,closed,2024-02-14,Target,1009,Target,Retail,Mass,40842.0,1006
direct,closed,2024-02-15,Amazon,1002,Amazon,Online,Online,2832.9,79
direct,closed,2024-02-15,Target,1009,Target,Retail,Mass,6216.0,148
direct,closed,2024-02-16,Amazon,1002,Amazon,Online,Online,19062.979999999996,771
direct,closed,2024-02-16,Costco Wholesale,1008,Costco,Club,Club,385056.0,210
direct,closed,2024-02-16,Harris Teeter,1016,Harris Teeter,Retail,Grocery,10284.0,188
direct,closed,2024-02-16,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,51005.0,1453
direct,closed,2024-02-16,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,583
direct,closed,2024-02-16,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,6760.84,171
direct,closed,2024-02-16,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,126
direct,closed,2024-02-16,Target,1009,Target,Retail,Mass,6636.0,158
direct,closed,2024-02-16,The Kroger Co.,1013,Kroger,Retail,Grocery,27930.0,490
direct,closed,2024-02-16,UNFI,1014,UNFI,Retail,Natural,96243.0,2881
direct,closed,2024-02-17,Amazon,1002,Amazon,Online,Online,6424.29,186
direct,closed,2024-02-18,Amazon,1002,Amazon,Online,Online,3253.46,96
direct,closed,2024-02-19,Amazon,1002,Amazon,Online,Online,19385.9,845
direct,closed,2024-02-19,Donations,1028,Donations,Redistributor,No Segment,0.0,2390
direct,closed,2024-02-19,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,25686.4,792
direct,closed,2024-02-19,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,30
direct,closed,2024-02-19,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,0.0,4
direct,closed,2024-02-19,SnackTree International,1021,Snack Tree,AFH,Specialty Retail,8006.4,240
direct,closed,2024-02-19,Target,1009,Target,Retail,Mass,43164.0,1044
direct,closed,2024-02-19,The Kroger Co.,1013,Kroger,Retail,Grocery,80888.0,1480
direct,closed,2024-02-20,Amazon,1002,Amazon,Online,Online,16602.4,681
direct,closed,2024-02-20,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-02-20,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,8365.8,169
direct,closed,2024-02-20,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,483
direct,closed,2024-02-20,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,4341.4800000000005,107
direct,closed,2024-02-20,Walmart,1015,Walmart,Retail,Mass,3306.0,58
direct,closed,2024-02-21,Amazon,1002,Amazon,Online,Online,10103.340000000002,436
direct,closed,2024-02-21,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,71424.0,1920
direct,closed,2024-02-21,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,18
direct,closed,2024-02-21,"McLane Company, Inc.",1018,McLane,Retail,Convenience,4896.0,360
direct,closed,2024-02-21,Meijer,1003,Meijer,Retail,Grocery,7312.0,310
direct,closed,2024-02-21,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,11424.0,840
direct,closed,2024-02-21,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,8728.880000000001,193
direct,closed,2024-02-21,Target,1009,Target,Retail,Mass,27090.0,645
direct,closed,2024-02-21,Walmart,1015,Walmart,Retail,Mass,19323.0,339
direct,closed,2024-02-22,Amazon,1002,Amazon,Online,Online,9950.43,441
direct,closed,2024-02-22,Costco Wholesale,1008,Costco,Club,Club,110016.0,60
direct,closed,2024-02-22,GNC,1006,GNC,AFH,Fitness,13056.0,960
direct,closed,2024-02-22,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,24295.2,1354
direct,closed,2024-02-22,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,48
direct,closed,2024-02-22,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,3264.0,240
direct,closed,2024-02-22,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,2102.31,53
direct,closed,2024-02-22,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,381
direct,closed,2024-02-22,Target,1009,Target,Retail,Mass,6594.0,157
direct,closed,2024-02-22,UNFI,1014,UNFI,Retail,Natural,89721.6,1962
direct,closed,2024-02-22,Walmart,1015,Walmart,Retail,Mass,50844.0,892
direct,closed,2024-02-23,Amazon,1002,Amazon,Online,Online,7442.280000000001,341
direct,closed,2024-02-23,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,211323.0,5985
direct,closed,2024-02-23,Muscle Foods USA,1011,Muscle Foods,AFH,Fitness,6528.0,480
direct,closed,2024-02-23,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,2059.33,46
direct,closed,2024-02-23,Sales Samples,1184,Wilde,No Channel,No Segment,0.0,100
direct,closed,2024-02-23,SportLife Distribution,1027,SportLife,AFH,Fitness,4896.0,360
direct,closed,2024-02-23,Target,1009,Target,Retail,Mass,10584.0,294
direct,closed,2024-02-24,Amazon,1002,Amazon,Online,Online,1606.74,48
direct,closed,2024-02-25,Amazon,1002,Amazon,Online,Online,1814.8400000000001,52
direct,closed,2024-02-26,Amazon,1002,Amazon,Online,Online,12785.01,572
direct,closed,2024-02-26,Costco Wholesale,1008,Costco,Club,Club,319046.4,174
direct,closed,2024-02-26,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,295
direct,closed,2024-02-26,Walmart,1015,Walmart,Retail,Mass,51414.0,902
direct,closed,2024-02-27,Amazon,1002,Amazon,Online,Online,13415.150000000001,546
direct,closed,2024-02-27,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,23886.2,1541
direct,closed,2024-02-27,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,256
direct,closed,2024-02-27,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,8562.2,180
direct,closed,2024-02-27,Walmart,1015,Walmart,Retail,Mass,64125.0,1125
direct,closed,2024-02-28,Amazon,1002,Amazon,Online,Online,11970.249999999998,410
direct,closed,2024-02-28,Harris Teeter,1016,Harris Teeter,Retail,Grocery,71145.0,1305
direct,closed,2024-02-28,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,95196.8,2439
direct,closed,2024-02-28,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,192
direct,closed,2024-02-28,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,13537.15,313
direct,closed,2024-02-28,Target,1009,Target,Retail,Mass,9324.0,259
direct,closed,2024-02-28,UNFI,1014,UNFI,Retail,Natural,164100.0,3820
direct,closed,2024-02-29,Amazon,1002,Amazon,Online,Online,17425.449999999997,617
direct,closed,2024-02-29,DPI Specialty Foods,1001,DPI,Retail,Natural,7440.0,200
direct,closed,2024-02-29,"Kehe Distributors, LLC",1005,Kehe,Retail,Natural,3264.0,240
direct,closed,2024-02-29,Marketing Samples,1183,Wilde,No Channel,No Segment,0.0,56
direct,closed,2024-02-29,SHOPIFY - WILDE WEB SITE,1146,Shopify,Online,Online,9975.06,210
direct,closed,2024-02-29,Target,1009,Target,Retail,Mass,35316.0,883
direct,closed,2024-02-29,Walmart,1015,Walmart,Retail,Mass,45258.0,794
direct,closed,2024-03-01,Amazon,1002,Amazon,Online,Online,7035.0599999999995,202
direct,closed,2024-03-02,Amazon,1002,Amazon,Online,Online,4783.500000000001,142
